"","Estimate","Std. Error","z value","Pr(>|z|)","comparison"
"GO:0000122_motif1169",1.23257292972944,0.329545099096056,3.7402253382326,0.000183855353981093,"GO:0000122_motif1169"
"GO:0000139_motif1169",-0.178620601182313,0.43189157597805,-0.41357741414107,0.679183616936761,"GO:0000139_motif1169"
"GO:0000165_motif1169",-0.0984468090792454,0.459915385993467,-0.214054176218936,0.830504809607572,"GO:0000165_motif1169"
"GO:0000902_motif1169",0.104329824278051,0.46322617061643,0.225224373958008,0.821804728839407,"GO:0000902_motif1169"
"GO:0000922_motif1169",0.43416701407688,0.437187241331833,0.993091684821926,0.320665275837558,"GO:0000922_motif1169"
"GO:0001503_motif1169",-0.461136798942254,0.422721613317335,-1.09087584929347,0.275327515261133,"GO:0001503_motif1169"
"GO:0001618_motif1169",0.428566582664474,0.254850120887833,1.68164166911696,0.0926383453394468,"GO:0001618_motif1169"
"GO:0001664_motif1169",-0.475262793190026,0.528189912956943,-0.899795284861429,0.368229204087043,"GO:0001664_motif1169"
"GO:0001666_motif1169",0.919542728200803,0.287365598386664,3.19990539355903,0.0013747270443205,"GO:0001666_motif1169"
"GO:0001726_motif1169",1.45678859268423,0.392378054768597,3.71271679182815,0.000205046291758967,"GO:0001726_motif1169"
"GO:0001889_motif1169",0.238471061537791,0.443947950978361,0.537159955378225,0.591157129460226,"GO:0001889_motif1169"
"GO:0001934_motif1169",-0.615611891163223,0.339218587528021,-1.81479409972595,0.0695555574860208,"GO:0001934_motif1169"
"GO:0002020_motif1169",0.222568414314685,0.318455009678053,0.698900653312673,0.48461411919507,"GO:0002020_motif1169"
"GO:0002250_motif1169",-1.53498639397388,0.581972567550085,-2.63755798737331,0.00835053472683105,"GO:0002250_motif1169"
"GO:0002376_motif1169",-17.4042823013224,851.742249311107,-0.0204337430900007,0.983697366371421,"GO:0002376_motif1169"
"GO:0002576_motif1169",-0.560311538562134,0.27463433624951,-2.04020934240751,0.0413294796433379,"GO:0002576_motif1169"
"GO:0004175_motif1169",-1.21145903417113,0.544582111720994,-2.22456633829317,0.0261103644998028,"GO:0004175_motif1169"
"GO:0004252_motif1169",-1.03606220054762,0.323654260437514,-3.2011387681011,0.00136885591114645,"GO:0004252_motif1169"
"GO:0004565_motif1169",-0.475262793190021,0.528189912956943,-0.899795284861418,0.368229204087049,"GO:0004565_motif1169"
"GO:0004871_motif1169",0.10246350084377,0.483582119621672,0.211884386717878,0.832197231645343,"GO:0004871_motif1169"
"GO:0004872_motif1169",0.448965986437725,0.402788691371903,1.11464397103241,0.26500301968089,"GO:0004872_motif1169"
"GO:0004888_motif1169",-0.335230381493909,0.416330069654831,-0.80520338531358,0.420702323258404,"GO:0004888_motif1169"
"GO:0005088_motif1169",-0.022843405811098,0.468569739213655,-0.0487513467033389,0.961117455740455,"GO:0005088_motif1169"
"GO:0005102_motif1169",-0.461837700485571,0.298992429548071,-1.54464680321051,0.122431718746556,"GO:0005102_motif1169"
"GO:0005125_motif1169",0.562781953789564,0.266937485485819,2.10829120820298,0.0350058079676928,"GO:0005125_motif1169"
"GO:0005128_motif1169",1.68161740479813,0.387385779480799,4.3409373649491,1.41876165418118e-05,"GO:0005128_motif1169"
"GO:0005178_motif1169",0.609572863298998,0.261892323658104,2.32757056329297,0.0199349180440455,"GO:0005178_motif1169"
"GO:0005179_motif1169",0.631164903408562,0.266129097786263,2.37164935611615,0.0177088877710082,"GO:0005179_motif1169"
"GO:0005509_motif1169",-0.0985705408059439,0.325305266633475,-0.303009360487866,0.761882728110994,"GO:0005509_motif1169"
"GO:0005515_motif1169",-0.298668302057845,0.12134548292936,-2.4613054795926,0.0138432442078459,"GO:0005515_motif1169"
"GO:0005518_motif1169",-1.2468008378782,0.605567650619543,-2.05889604010819,0.0395041985199191,"GO:0005518_motif1169"
"GO:0005543_motif1169",-0.569158323283721,0.433151105041101,-1.31399485458941,0.18884793578317,"GO:0005543_motif1169"
"GO:0005576_motif1169",-0.294194278200707,0.124930383311948,-2.35486572922866,0.0185293997039844,"GO:0005576_motif1169"
"GO:0005578_motif1169",-1.76813641865058,0.566447575229743,-3.12144759015598,0.00179964278000748,"GO:0005578_motif1169"
"GO:0005615_motif1169",-0.317684292814617,0.141779952781927,-2.24068555942638,0.0250464501492656,"GO:0005615_motif1169"
"GO:0005622_motif1169",-0.1878907515148,0.385476686021394,-0.487424423650805,0.625957588902094,"GO:0005622_motif1169"
"GO:0005634_motif1169",-0.652621080122603,0.373432314900998,-1.74762883146741,0.0805283195512611,"GO:0005634_motif1169"
"GO:0005737_motif1169",-0.0524727575852765,0.196208473971729,-0.267433697042244,0.789135257450128,"GO:0005737_motif1169"
"GO:0005739_motif1169",-0.550866199999704,0.519656662805822,-1.06005799487948,0.289118215990954,"GO:0005739_motif1169"
"GO:0005764_motif1169",-0.645949567934785,0.406480325976392,-1.58912873921554,0.112031330617421,"GO:0005764_motif1169"
"GO:0005765_motif1169",-0.670835166952453,0.506887397665537,-1.32344021579936,0.185689025347246,"GO:0005765_motif1169"
"GO:0005768_motif1169",0.527640608974037,0.322060901674669,1.63832556584914,0.101353797265061,"GO:0005768_motif1169"
"GO:0005769_motif1169",-1.78633738110747,0.652765945591935,-2.73656644187772,0.00620840563354703,"GO:0005769_motif1169"
"GO:0005783_motif1169",0.212704739676963,0.254767466491827,0.834897573877575,0.403775380895778,"GO:0005783_motif1169"
"GO:0005788_motif1169",-1.6804104404308,0.3814390023415,-4.40544996740094,1.05564516435524e-05,"GO:0005788_motif1169"
"GO:0005789_motif1169",-0.534484084407677,0.416060666790361,-1.28463016831386,0.198921551252274,"GO:0005789_motif1169"
"GO:0005794_motif1169",0.323850679464155,0.300374412121844,1.0781566817775,0.280963839817498,"GO:0005794_motif1169"
"GO:0005796_motif1169",-0.452758295252198,0.275624576349693,-1.64266300650117,0.10045267678824,"GO:0005796_motif1169"
"GO:0005829_motif1169",-17.403776951734,985.487190513817,-0.01766007424476,0.985910031813652,"GO:0005829_motif1169"
"GO:0005886_motif1169",-0.180015375270776,0.150731498571093,-1.19427841544262,0.232369077985442,"GO:0005886_motif1169"
"GO:0005887_motif1169",-1.68625333467546,0.404279714374877,-4.1710065450176,3.03257150930684e-05,"GO:0005887_motif1169"
"GO:0005911_motif1169",0.738944988427619,0.447068597639085,1.6528671267226,0.0983579087764339,"GO:0005911_motif1169"
"GO:0005925_motif1169",0.605559599386835,0.264319334141379,2.29101515163069,0.0219625373564456,"GO:0005925_motif1169"
"GO:0005929_motif1169",0.455697179141121,0.439688862959879,1.03640828215088,0.300011708146979,"GO:0005929_motif1169"
"GO:0006357_motif1169",0.723997013951896,0.257219501557971,2.81470498763378,0.00488220296646009,"GO:0006357_motif1169"
