"hgnc_symbol","uniprotswissprot","go_id","name_1006","definition_1006"
"CP","P00450","GO:0005615","extracellular space","That part of a multicellular organism outside the cells proper, usually taken to be outside the plasma membranes, and occupied by fluid. [ISBN:0198547684]"
"CP","P00450","GO:0006810","transport","The directed movement of substances (such as macromolecules, small molecules, ions) or cellular components (such as complexes and organelles) into, out of or within a cell, or between cells, or within a multicellular organism by means of some agent such as a transporter, pore or motor protein. [GOC:dos, GOC:dph, GOC:jl, GOC:mah]"
"CP","P00450","GO:0046872","metal ion binding","Interacting selectively and non-covalently with any metal ion. [GOC:ai]"
"CP","P00450","GO:0016491","oxidoreductase activity","Catalysis of an oxidation-reduction (redox) reaction, a reversible chemical reaction in which the oxidation state of an atom or atoms within a molecule is altered. One substrate acts as a hydrogen or electron donor and becomes oxidized, while the other acts as hydrogen or electron acceptor and becomes reduced. [GOC:go_curators]"
"CP","P00450","GO:0055114","oxidation-reduction process","A metabolic process that results in the removal or addition of one or more electrons to or from a substance, with or without the concomitant removal or addition of a proton or protons. [GOC:dhl, GOC:ecd, GOC:jh2, GOC:jid, GOC:mlg, GOC:rph]"
"CP","P00450","GO:0005765","lysosomal membrane","The lipid bilayer surrounding the lysosome and separating its contents from the cell cytoplasm. [GOC:ai]"
"CP","P00450","GO:0006811","ion transport","The directed movement of charged atoms or small charged molecules into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore. [GOC:ai]"
"CP","P00450","GO:0005576","extracellular region","The space external to the outermost structure of a cell. For cells without external protective or external encapsulating structures this refers to space outside of the plasma membrane. This term covers the host cell environment outside an intracellular parasite. [GOC:go_curators]"
"CP","P00450","GO:0006879","cellular iron ion homeostasis","Any process involved in the maintenance of an internal steady state of iron ions at the level of a cell. [GOC:ai, GOC:mah]"
"CP","P00450","GO:0005507","copper ion binding","Interacting selectively and non-covalently with copper (Cu) ions. [GOC:ai]"
"CP","P00450","GO:0004322","ferroxidase activity","Catalysis of the reaction: 4 Fe2+ + 4 H+ + O2 = 4 Fe3+ + 2 H2O. [EC:1.16.3.1]"
"CP","P00450","GO:0070062","extracellular exosome","A vesicle that is released into the extracellular region by fusion of the limiting endosomal membrane of a multivesicular body with the plasma membrane. Extracellular exosomes, also simply called exosomes, have a diameter of about 40-100 nm. [GOC:BHF, GOC:mah, GOC:vesicles, PMID:15908444, PMID:17641064, PMID:19442504, PMID:19498381, PMID:22418571, PMID:24009894]"
