InteractorA	InteractorB	Sources	CrossConfidence	StandardConfidence	PublicationCount	Publications
P49418	O43426	mint, Biogrid, Hprd	1	1	3	10542231, 9341169, 14704270
Q99961	O43426	mint, Biogrid, Hprd	1	1	3	10542231, 9238017, 10764144
P49418	Q05193	mint, Biogrid, Hprd	1	1	10	10542231, 9148966, 15834155, 9341169, 9348539, 9280305, 11877424, 17244534, 10899172, 9694653
Q99961	Q05193	mint, Biogrid, Hprd	1	1	3	10542231, 10764144, 9238017
P49418	P50570	mint, Biogrid, Hprd	1	1	3	10542231, 15834155, 16696976
Q13643	Q14192	mint, Biogrid, Hprd	1	1	2	11135358, 11046156
P42566	P42566	mint, intact, Biogrid, Hprd	1	1	6	9182572, 19380743, 12957285, 9407139, 9049247, 11381094
P33993	Q14192	mint, Biogrid, Hprd	1	1	1	10649446
P10275	Q14192	mint, Biogrid, Hprd	1	1	1	10654935
Q07889	Q8IZP0	mint, Biogrid, Hprd	1	1	1	10499589
P00519	Q92558	mint, Biogrid, Hprd	1	1	2	10970852, 18559503
Q8NFH8	Q9Y6I3	mint, Biogrid, Hprd	1	1	4	9422736, 10557078, 15809337, 10764745
Q9Y4J8	P46939	mint, Biogrid, Hprd	1	1	2	10767429, 9701558
Q13474	Q9Y4J8	mint, Biogrid, Hprd	1	1	1	10767429
P11532	Q9Y4J8	mint, Biogrid, Hprd	1	1	4	10767429, 9356463, 28514442, 9701558
P46939	Q14118	mint, Biogrid, Hprd	1	1	2	10767429, 10769203
P27986	P10398	mint, Biogrid, Hprd	1	1	2	10967104, 11812000
P07237	Q03692	mint, Hprd	2	2	1	10436013
P27797	P30101	mint, Biogrid, Hprd	1	1	3	10436013, 12052826, 26344197
Q96HE7	P07237	mint, Biogrid, Hprd	2	2	5	10970843, 20802462, 11847130, 11707400, 26344197
P50750	O60563	mint, intact, Dip, Biogrid, Hprd	1	1	51	9491887, 18483487, 18566585, 19387490, 19914168, 20153263, 21729782, 23455922, 23602568, 20562857, 22959624, 26659056, 20535204, 15107825, 12944466, 12832472, 12588988, 11689688, 10574912, 9499409, 10958691, 16980611, 17643375, 19818711, 17700062, 15546612, 14580347, 20305087, 22483617, 15528190, 22939629, 11282025, 12894230, 14627702, 23064645, 15713661, 10465067, 9872325, 12115727, 11713533, 16109377, 11713532, 15328539, 15713662, 24367103, 21697490, 26186194, 26344197, 28514442, 10617616, 11145967
P53999	P68400	mint, intact, Biogrid, Hprd	1	1	2	7809103, 22113938
P11940	Q15365	mint, Biogrid, Hprd	1	1	2	10373504, 26344197
Q15366	P11940	mint, Biogrid, Hprd	1	1	2	10373504, 26344197
Q14192	P49810	mint, Biogrid, Hprd	1	1	1	11001931
Q9GZV5	Q15599	mint, Biogrid, Hprd	2	2	1	11118213
Q01196	Q9GZV5	mint, Hprd	1	1	1	11118213
O60674	P38398	mint, Biogrid, Hprd	2	2	1	11163768
P23458	P38398	mint, Biogrid, Hprd	2	2	1	11163768
P15918	P52294	mint, Biogrid, Hprd	1	1	2	8052633, 8777717
Q9Y2U5	P62258	mint, intact, Biogrid, Hprd	1	1	3	9452471, 26496610, 17979178
P31946	P08069	mint, intact, Biogrid, Hprd	1	1	4	9581554, 15629149, 17353931, 14651979
P63104	P08069	mint, Hprd	2	2	1	9581554
Q15811	P42566	mint, Biogrid, Hprd	1	1	4	10064583, 22558309, 26344197, 10922467
P49757	P42566	mint, intact, Biogrid, Hprd	1	1	3	9303539, 23211419, 10953014
P52594	P42566	mint, Biogrid, Hprd	1	1	3	9303539, 10613896, 11062555
Q99708	Q08999	mint, intact, Dip, Biogrid, Hprd	1	1	4	10449734, unassigned1304, 9721205, 16600870
Q99708	Q13363	mint, Dip, Biogrid, Hprd	1	1	5	9535825, 10449734, 26807646, 10196224, 16287852
O75369	P49810	mint, Biogrid, Hprd	1	1	1	9437013
O75369	P49768	mint, Biogrid, Hprd	1	1	1	9437013
P49768	P21333	mint, Hprd	1	1	1	9437013
P21333	P49810	mint, Hprd	1	1	1	9437013
P49810	Q07817	mint, Biogrid, Hprd	1	1	1	10446169
Q07817	P49768	mint, Biogrid, Hprd	1	1	1	10446169
P49810	P30626	mint, Biogrid, Hprd	1	1	1	10748169
P49810	Q9UMX0	mint, Biogrid, Hprd	1	1	3	11076969, 17614368, 16813565
P49768	Q9UMX0	mint, Biogrid, Hprd	1	1	3	11076969, 16815845, 16813565
P63208	Q9Y297	mint, intact, Dip, Biogrid, Hprd	1	1	34	9660940, 10644755, 12609982, 15070733, 19159283, 22632967, 27705803, 25416956, 20596027, 10918611, 10531035, 12820959, 11483504, 10514433, 10228155, 10074433, 19061640, 19933270, 9990852, 17283138, 10023660, 14706645, 17215248, 22388891, 16275325, 23607312, 24469040, 24811168, 24912152, 25332235, 25900982, 25632159, 26474281, 15536641
P11940	Q04637	mint, intact, Dip, Biogrid, Hprd	1	1	4	9857202, 12086624, 16772376, 26344197
O43432	P11940	mint, Biogrid, Hprd	1	1	2	9857202, 26344197
Q13363	Q15583	mint, intact, Biogrid, Hprd	1	1	4	10995736, 25416956, 25910212, 20361981
Q99828	P49810	mint, Biogrid, Hprd	1	1	1	10366599
Q99569	P49768	mint, Biogrid, Hprd	1	1	2	10092585, 10037471
Q12972	Q99459	mint, Hprd	1	1	1	10827081
P46013	Q9NS87	mint, Dip, Biogrid, Hprd	1	1	1	10878014
P38398	P03372	mint, intact, Biogrid, Hprd	1	1	12	11244506, 15674350, 11493692, 12400015, 11782371, 16860316, 16061635, 20060929, 19887647, 17505062, 25499220, 10334989
Q14571	Q9UBN4	mint, Biogrid, Hprd	1	1	1	11163362
P27695	P0DMV8	mint, Hprd	1	1	3	10629618, 11133992, 20808282
P27695	P0DMV9	mint, Hprd	1	1	3	10629618, 11133992, 20808282
O43639	Q14185	mint, Biogrid, Hprd	1	1	1	11240126
Q14192	Q14192	mint, intact, Biogrid, Hprd	1	1	3	10906324, 18255255, 11046156
Q9UBZ9	Q14192	mint, Biogrid, Hprd	1	1	1	10906324
Q13683	Q14192	mint, Dip, Biogrid, Hprd	1	1	2	10906324, 15117962
P08047	P08047	mint, Biogrid, Hprd	1	1	4	10393239, 9343410, 11585914, 2512012
P08922	P29350	mint, Biogrid, Hprd	1	1	2	11266449, 17416557
P62258	Q9UQL6	mint, intact, Biogrid, Hprd	1	1	6	10737771, 23752268, 10869435, 21081666, 24841198, 11114197
Q6P5Z2	Q13393	mint, Hprd	1	1	1	11259428
O60941	P11532	mint, intact, Biogrid, Hprd	1	1	5	9395493, 10545507, 25416956, unassigned1304, 28514442
Q13363	P37275	mint, Biogrid, Hprd	1	1	6	10359772, 17967884, 10567582, 25086746, 26186194, 28514442
