#Unique identifier for interactor A	Unique identifier for interactor B	Alternative identifier for interactor A	Alternative identifier for interactor B	Aliases for A	Aliases for B	Interaction detection methods	First author	Identifier of the publication	NCBI Taxonomy identifier for interactor A	NCBI Taxonomy identifier for interactor B	Interaction types	Source databases	Interaction identifier(s)	Confidence score	Complex expansion	Biological role A	Biological role B	Experimental role A	Experimental role B	Interactor type A	Interactor type B	Xref for interactor A	Xref for interactor B	Xref for the interaction	Annotations for interactor A	Annotations for interactor B	Annotations for the interaction	NCBI Taxonomy identifier for the host organism	Parameters of the interaction	Creation date	Update date	Checksum for interactor A	Checksum for interactor B	Checksum for interaction	negative	Feature(s) for interactor A	Feature(s) for interactor B	Stoichiometry for interactor A	Stoichiometry for interactor B	Participant identification method for interactor A	Participant identification method for interactor B
uniprotkb:A0JPN2	chebi:"CHEBI:28304"	matrixdb:A0JPN2	matrixdb:GAG_1	uniprotkb:slc39a4(gene name)	matrixdb:Heparin(short label)	psi-mi:"MI:0400"(affinity technology)	Ori et al.(2011)	pubmed:21454685|imex:IM-25784	taxid:10116("Rattus norvegicus")	-	psi-mi:"MI:0914"(association)	psi-mi:"MI:0917"(MatrixDB)	matrixdb:A0JPN2__GAG_1_21454685_MatrixDB_1|imex:IM-25784-1	-	-	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0498"(prey)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0326"(protein)	psi-mi:"MI:0904"(polysaccharide)	-	-	-	-	-	-	taxid:-1("in vitro")	-	-	-	-	-	-	-	-	-	-	-	psi-mi:"MI:0102"(sequence tag identification)	psi-mi:"MI:0102"(sequence tag identification)
uniprotkb:B2GUY2	chebi:"CHEBI:28304"	matrixdb:B2GUY2	matrixdb:GAG_1	uniprotkb:tfr2(gene name)	matrixdb:Heparin(short label)	psi-mi:"MI:0400"(affinity technology)	Ori et al.(2011)	pubmed:21454685|imex:IM-25784	taxid:10116("Rattus norvegicus")	-	psi-mi:"MI:0914"(association)	psi-mi:"MI:0917"(MatrixDB)	matrixdb:B2GUY2__GAG_1_21454685_MatrixDB_1|imex:IM-25784-1	-	-	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0498"(prey)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0326"(protein)	psi-mi:"MI:0904"(polysaccharide)	-	-	-	-	-	-	taxid:-1("in vitro")	-	-	-	-	-	-	-	-	-	-	-	psi-mi:"MI:0102"(sequence tag identification)	psi-mi:"MI:0102"(sequence tag identification)
uniprotkb:B5D5N9	chebi:"CHEBI:28304"	matrixdb:B5D5N9	matrixdb:GAG_1	uniprotkb:slc7a2(gene name)	matrixdb:Heparin(short label)	psi-mi:"MI:0400"(affinity technology)	Ori et al.(2011)	pubmed:21454685|imex:IM-25784	taxid:10116("Rattus norvegicus")	-	psi-mi:"MI:0914"(association)	psi-mi:"MI:0917"(MatrixDB)	matrixdb:B5D5N9__GAG_1_21454685_MatrixDB_1|imex:IM-25784-1	-	-	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0498"(prey)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0326"(protein)	psi-mi:"MI:0904"(polysaccharide)	-	-	-	-	-	-	taxid:-1("in vitro")	-	-	-	-	-	-	-	-	-	-	-	psi-mi:"MI:0102"(sequence tag identification)	psi-mi:"MI:0102"(sequence tag identification)
chebi:"CHEBI:29105"	uniprotkb:P05067	matrixdb:CAT_1	matrixdb:P05067	matrixdb:Zinc(short label)	uniprotkb:app(gene name)	psi-mi:"MI:0004"(affinity chromatography technology)	Bush et al.(1994)	pubmed:7929392	-	taxid:9606("Homo sapiens")	psi-mi:"MI:0407"(direct interaction)	psi-mi:"MI:0917"(MatrixDB)	matrixdb:CAT_1__P05067_7929392_MatrixDB_1	-	-	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)	psi-mi:"MI:0328"(small molecule)	psi-mi:"MI:0326"(protein)	-	-	-	-	-	comment:"use of zinc-chelating Sepharose"|comment:"Figure 5"	taxid:-1("in vitro")	-	-	-	-	-	-	-	-	-	-	-	psi-mi:"MI:0396"(predetermined participant)	psi-mi:"MI:0078"(nucleotide sequence identification)
chebi:"CHEBI:29105"	uniprotkb:P05546	matrixdb:CAT_1	matrixdb:P05546	matrixdb:Zinc(short label)	uniprotkb:serpind1(gene name)	psi-mi:"MI:0004"(affinity chromatography technology)	Eckert et al.(2003)	pubmed:12706831	-	taxid:9606("Homo sapiens")	psi-mi:"MI:0407"(direct interaction)	psi-mi:"MI:0917"(MatrixDB)	matrixdb:CAT_1__P05546_12706831_MatrixDB_1	-	-	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)	psi-mi:"MI:0328"(small molecule)	psi-mi:"MI:0326"(protein)	-	-	-	-	-	comment:"Figure 2"	taxid:-1("in vitro")	-	-	-	-	-	-	-	-	-	-	-	psi-mi:"MI:0396"(predetermined participant)	psi-mi:"MI:0396"(predetermined participant)
chebi:"CHEBI:29105"	uniprotkb:P05546	matrixdb:CAT_1	matrixdb:P05546	matrixdb:Zinc(short label)	uniprotkb:serpind1(gene name)	psi-mi:"MI:0017"(classical fluorescence spectroscopy)	Eckert et al.(2003)	pubmed:12706831	-	taxid:9606("Homo sapiens")	psi-mi:"MI:0407"(direct interaction)	psi-mi:"MI:0917"(MatrixDB)	matrixdb:CAT_1__P05546_12706831_MatrixDB_2	-	-	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)	psi-mi:"MI:0328"(small molecule)	psi-mi:"MI:0326"(protein)	-	-	-	-	-	comment:"Figure 3"	taxid:-1("in vitro")	kd:123000(nanomolar)	-	-	-	-	-	-	-	-	-	-	psi-mi:"MI:0396"(predetermined participant)	psi-mi:"MI:0396"(predetermined participant)
chebi:"CHEBI:29105"	uniprotkb:P51693	matrixdb:CAT_1	matrixdb:P51693	matrixdb:Zinc(short label)	uniprotkb:aplp1(gene name)	psi-mi:"MI:0004"(affinity chromatography technology)	Bush et al.(1994)	pubmed:7929392	-	taxid:9606("Homo sapiens")	psi-mi:"MI:0407"(direct interaction)	psi-mi:"MI:0917"(MatrixDB)	matrixdb:CAT_1__P51693_7929392_MatrixDB_1	-	-	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)	psi-mi:"MI:0328"(small molecule)	psi-mi:"MI:0326"(protein)	-	-	-	-	-	comment:"Use of zinc-chelating Sepharose"|comment:"Figure 5"	taxid:-1("in vitro")	-	-	-	-	-	-	-	-	-	-	-	psi-mi:"MI:0396"(predetermined participant)	psi-mi:"MI:0078"(nucleotide sequence identification)
chebi:"CHEBI:29105"	uniprotkb:P39060-PRO_0000005794	matrixdb:CAT_1	matrixdb:PFRAG_1_human	matrixdb:Zinc(short label)	matrixdb:"Endostatin"(short label)|matrixdb:"C-terminus of collagen XVIII"(synonym)	psi-mi:"MI:0013"(biophysical)	Ding et al.(1998)	pubmed:9724722	-	taxid:9606("Homo sapiens")	psi-mi:"MI:0407"(direct interaction)	psi-mi:"MI:0917"(MatrixDB)	matrixdb:CAT_1__PFRAG_1_human_9724722_MatrixDB_1	-	-	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0497"(neutral component)	psi-mi:"MI:0497"(neutral component)	psi-mi:"MI:0328"(small molecule)	psi-mi:"MI:0326"(protein)	-	-	-	-	-	-	taxid:-1("in vitro")	-	-	-	-	-	-	-	-	-	-	-	psi-mi:"MI:0396"(predetermined participant)	psi-mi:"MI:0078"(nucleotide sequence identification)
chebi:"CHEBI:29105"	uniprotkb:Q06481	matrixdb:CAT_1	matrixdb:Q06481	matrixdb:Zinc(short label)	uniprotkb:aplp2(gene name)	psi-mi:"MI:0004"(affinity chromatography technology)	Bush et al.(1994)	pubmed:7929392	-	taxid:9606("Homo sapiens")	psi-mi:"MI:0407"(direct interaction)	psi-mi:"MI:0917"(MatrixDB)	matrixdb:CAT_1__Q06481_7929392_MatrixDB_1	-	-	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)	psi-mi:"MI:0328"(small molecule)	psi-mi:"MI:0326"(protein)	-	-	-	-	-	comment:"Use of zinc-chelating Sepharose"|comment:"Figure 5"	taxid:-1("in vitro")	-	-	-	-	-	-	-	-	-	-	-	psi-mi:"MI:0396"(predetermined participant)	psi-mi:"MI:0078"(nucleotide sequence identification)
chebi:"CHEBI:29036"	uniprotkb:P07214	matrixdb:CAT_2	matrixdb:P07214	matrixdb:Copper(short label)	uniprotkb:sparc(gene name)	psi-mi:"MI:0047"(far western blotting)	Vernon et al.(1989)	pubmed:2775822|imex:IM-14106	-	taxid:10090("Mus musculus")	psi-mi:"MI:0407"(direct interaction)	psi-mi:"MI:0917"(MatrixDB)	matrixdb:CAT_2__P07214_2775822_MatrixDB_1|imex:IM-14106-1	-	-	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0498"(prey)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0328"(small molecule)	psi-mi:"MI:0326"(protein)	-	-	-	-	-	comment:"Figure 9"	taxid:-1("in vitro")	-	-	-	-	-	-	-	radiolabel:?-?	-	-	-	psi-mi:"MI:0833"(autoradiography)	psi-mi:"MI:0816"(molecular weight estimation by staining)
chebi:"CHEBI:29036"	uniprotkb:P07214	matrixdb:CAT_2	matrixdb:P07214	matrixdb:Copper(short label)	uniprotkb:sparc(gene name)	psi-mi:"MI:0004"(affinity chromatography technology)	Lane et al.(1994)	pubmed:7514608|imex:IM-14108	-	taxid:10090("Mus musculus")	psi-mi:"MI:0407"(direct interaction)	psi-mi:"MI:0917"(MatrixDB)	matrixdb:CAT_2__P07214_7514608_MatrixDB_1|imex:IM-14108-1	-	-	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)	psi-mi:"MI:0328"(small molecule)	psi-mi:"MI:0326"(protein)	-	-	-	-	-	comment:"Figure 5B, 5C"	taxid:-1("in vitro")	-	-	-	-	-	-	-	-	sufficient_binding_site:130-147,71-90	-	-	psi-mi:"MI:0396"(predetermined participant)	psi-mi:"MI:0113"(western blot)
chebi:"CHEBI:29036"	uniprotkb:P07214	matrixdb:CAT_2	matrixdb:P07214	matrixdb:Copper(short label)	uniprotkb:sparc(gene name)	psi-mi:"MI:0069"(mass spectrometry studies of complexes)	Lane et al.(1994)	pubmed:7514608|imex:IM-14108	-	taxid:10090("Mus musculus")	psi-mi:"MI:0407"(direct interaction)	psi-mi:"MI:0917"(MatrixDB)	matrixdb:CAT_2__P07214_7514608_MatrixDB_2|imex:IM-14108-2	-	-	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0497"(neutral component)	psi-mi:"MI:0497"(neutral component)	psi-mi:"MI:0328"(small molecule)	psi-mi:"MI:0326"(protein)	-	-	-	-	-	comment:"Figure 6"	taxid:-1("in vitro")	-	-	-	-	-	-	-	-	sufficient_binding_site:136-139	-	-	psi-mi:"MI:0396"(predetermined participant)	psi-mi:"MI:0032"(de novo protein sequencing by mass spectrometry)
chebi:"CHEBI:29036"	uniprotkb:P33072	matrixdb:CAT_2	matrixdb:P33072	matrixdb:Copper(short label)	uniprotkb:lox(gene name)	psi-mi:"MI:0013"(biophysical)	Gacheru et al.(1990)	pubmed:1977746	-	taxid:9913("Bos taurus")	psi-mi:"MI:0407"(direct interaction)	psi-mi:"MI:0917"(MatrixDB)	matrixdb:CAT_2__P33072_1977746_MatrixDB_1	-	-	psi-mi:"MI:0682"(cofactor)	psi-mi:"MI:0501"(enzyme)	psi-mi:"MI:0497"(neutral component)	psi-mi:"MI:0497"(neutral component)	psi-mi:"MI:0328"(small molecule)	psi-mi:"MI:0326"(protein)	-	-	-	-	-	comment:"The enzyme contains 0.99 g atom of tightly bound copper per 32-kDa monomer"|comment:"Figure Table I"	taxid:-1("in vitro")	-	-	-	-	-	-	-	-	-	-	-	psi-mi:"MI:0396"(predetermined participant)	psi-mi:"MI:0396"(predetermined participant)
chebi:"CHEBI:29036"	uniprotkb:P33072	matrixdb:CAT_2	matrixdb:P33072	matrixdb:Copper(short label)	uniprotkb:lox(gene name)	psi-mi:"MI:0042"(electron paramagnetic resonance)	Gacheru et al.(1990)	pubmed:1977746	-	taxid:9913("Bos taurus")	psi-mi:"MI:0407"(direct interaction)	psi-mi:"MI:0917"(MatrixDB)	matrixdb:CAT_2__P33072_1977746_MatrixDB_2	-	-	psi-mi:"MI:0682"(cofactor)	psi-mi:"MI:0501"(enzyme)	psi-mi:"MI:0497"(neutral component)	psi-mi:"MI:0497"(neutral component)	psi-mi:"MI:0328"(small molecule)	psi-mi:"MI:0326"(protein)	-	-	-	-	-	comment:"Tetragonally distorted, octahedrally coordinated Cu(II) sites observed in other amine oxidases. Coordination by 3 nitrogen ligands."|comment:"Figure 5 and 6"	taxid:-1("in vitro")	-	-	-	-	-	-	-	-	-	-	-	psi-mi:"MI:0396"(predetermined participant)	psi-mi:"MI:0396"(predetermined participant)
chebi:"CHEBI:29108"	uniprotkb:P07214	matrixdb:CAT_3	matrixdb:P07214	matrixdb:Calcium(short label)	uniprotkb:sparc(gene name)	psi-mi:"MI:0016"(circular dichroism)	Maurer et al.(1992)	pubmed:1555584|imex:IM-14109	-	taxid:10090("Mus musculus")	psi-mi:"MI:0407"(direct interaction)	psi-mi:"MI:0917"(MatrixDB)	matrixdb:CAT_3__P07214_1555584_MatrixDB_1|imex:IM-14109-1	-	-	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0497"(neutral component)	psi-mi:"MI:0497"(neutral component)	psi-mi:"MI:0328"(small molecule)	psi-mi:"MI:0326"(protein)	-	-	-	-	-	comment:"Figure 2"	taxid:-1("in vitro")	kd:900(nanomolar)	-	-	-	-	-	-	-	-	-	-	psi-mi:"MI:0396"(predetermined participant)	psi-mi:"MI:0396"(predetermined participant)
