"hgnc_symbol","uniprotswissprot","interpro","interpro_description"
"CP","P00450","IPR001117","Multicopper oxidase, type 1"
"CP","P00450","IPR002355","Multicopper oxidase, copper-binding site"
"CP","P00450","IPR008972","Cupredoxin"
"CP","P00450","IPR011706","Multicopper oxidase, type 2"
"CP","P00450","IPR011707","Multicopper oxidase, type 3"
"CP","P00450","IPR027150","Ceruloplasmin"
"CP","P00450","IPR033138","Multicopper oxidases, conserved site"
"F8","P00451","IPR000421","Coagulation factor 5/8 C-terminal domain"
"F8","P00451","IPR008979","Galactose-binding domain-like"
"F8","P00451","IPR014707","Coagulation factor 8"
"F8","P00451","IPR001117","Multicopper oxidase, type 1"
"F8","P00451","IPR008972","Cupredoxin"
"F8","P00451","IPR011706","Multicopper oxidase, type 2"
"F8","P00451","IPR011707","Multicopper oxidase, type 3"
"F8","P00451","IPR024715","Coagulation factor 5/8-like"
"F8","P00451","IPR033138","Multicopper oxidases, conserved site"
"EGFR","P00533","IPR000494","Receptor L-domain"
"EGFR","P00533","IPR006211","Furin-like cysteine-rich domain"
"EGFR","P00533","IPR006212","Furin-like repeat"
"EGFR","P00533","IPR009030","Growth factor receptor cysteine-rich domain"
"EGFR","P00533","IPR032675","Leucine-rich repeat domain, L domain-like"
"EGFR","P00533","IPR032778","Growth factor receptor domain 4"
"EGFR","P00533","IPR000719","Protein kinase domain"
"EGFR","P00533","IPR001245","Serine-threonine/tyrosine-protein kinase, catalytic domain"
"EGFR","P00533","IPR008266","Tyrosine-protein kinase, active site"
"EGFR","P00533","IPR011009","Protein kinase-like domain"
"EGFR","P00533","IPR016245","Tyrosine protein kinase, EGF/ERB/XmrK receptor"
"EGFR","P00533","IPR017441","Protein kinase, ATP binding site"
"EGFR","P00533","IPR020635","Tyrosine-protein kinase, catalytic domain"
"F2","P00734","IPR000001","Kringle"
"F2","P00734","IPR000294","Gamma-carboxyglutamic acid-rich (GLA) domain"
"F2","P00734","IPR001254","Serine proteases, trypsin domain"
"F2","P00734","IPR001314","Peptidase S1A, chymotrypsin family"
"F2","P00734","IPR003966","Prothrombin/thrombin"
"F2","P00734","IPR009003","Peptidase S1, PA clan"
"F2","P00734","IPR013806","Kringle-like fold"
"F2","P00734","IPR017857","Coagulation factor, subgroup, Gla domain"
"F2","P00734","IPR018056","Kringle, conserved site"
"F2","P00734","IPR018114","Serine proteases, trypsin family, histidine active site"
"F2","P00734","IPR018992","Thrombin light chain"
"F2","P00734","IPR033116","Serine proteases, trypsin family, serine active site"
